Feature Abbreviated,Feature
GA,Goal Assists
CP,Contested Possessions
UP,Uncontested Possessions
ED,Effective Disposals
CM,Contested Marks
MI5,Marks Inside 50
One.Percenters,One Percenters
BO,Bounces
K,Kicks
HB,Handballs
D,Disposals
M,Marks
G,Goals
B,Behinds
T,Tackles
HO,Hitouts
I50,Inside 50s
CL,Clearances
CG,Clangers
R50,Rebound 50s
FF,Frees For
FA,Frees Against
AF,AFL Fantasy Points
SC,Supercoach Points
CCL,Centre Clearances
SCL,Stoppage Clearances
SI,Score Involvements
MG,Metres Gained
TO,Turnovers
ITC,Intercepts
T5,Tackles Inside 50
