season,player,team
2008-2010,S Goodwin,Adelaide
2011-2014,N Berlo,Adelaide
2015-,T Walker,Adelaide
2009-2013,J Brown,Brisbane
2013,J Adcock,Brisbane
2015-2016,T Rockliff,Brisbane
2017-2018,D Beams,Brisbane
2018-,D Zorko,Brisbane
2008-2012,C Judd,Carlton
2013-,M Murphy,Carlton
2009-2013,N Maxwell,Collingwood
2014-,S Pendlebury,Collingwood
2010-15,J Watson,Essendon
2016,B Goddard,Essendon
2017-,D Heppell,Essendon
2007-2015,M Pavlich,Fremantle
2016,D Mundy,Fremantle
2017-,N Fyfe,Fremantle
2012-,P Davis,GWS
2012,L Power,GWS
2012-,C Ward,GWS
2010-2011,C Ling,Geelong
2012-,J Selwood,Geelong
2011-2016,G Ablett,Gold Coast
2017-2018,T Lynch,Gold Coast
2017-2018,S May,Gold Coast
2008-2010,S Mitchell,Hawthorn
2011-2016,L Hodge,Hawthorn
2017,J Roughead,Hawthorn
2009-2010,J Mcdonald,Melbourne
2011,B Green,Melbourne
2012-2013,J Trengove,Melbourne
2012-2014,J Grimes,Melbourne
2014-,N Jones,Melbourne
2017-,J Viney,Melbourne
2009-2011,B Harvey,North Melbourne
2012-2016,A Swallow,North Melbourne
2017-,J Ziebell,North Melbourne
2009-2012,D Cassisi,Port Adelaide
2013-,T Boak,Port Adelaide
2009-2012,C Newman,Richmond
2013-,T Cotchin,Richmond
2008-2016,N Riewoldt,St Kilda
2017-,J Geary,St Kilda
2009-2010,C Bolton,Sydney
2009-2012,A Goodes,Sydney
2009-2010,B Kirk,Sydney
2011-2016,J Mcveigh,Sydney
2013-2016,K Jack,Sydney
2017-,J Kennedy,Sydney
2008-2014,D Glass,West Coast
2014-,S Hurn,West Coast
2007-2010,B Johnson,Western Bulldogs
2011-2013,M Boyd,Western Bulldogs
2014,R Griffen,Western Bulldogs
2015-2017,R Murphy,Western Bulldogs
2018-,E Wood,Western Bulldogs
